URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Baños,Ambientes,Cocheras,Sup. terreno [m²],Antiguedad [años],Estado
https://www.argenprop.com/departamento-en-alquiler-en-jardines-de-san-isidro-3-ambientes--13061661,Nicolás Avellaneda 1500,,900.0,92000.0,80.0,2.0,2.0,3.0,1.0,,6.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--11945526,Callao al 1900,,2000.0,225000.0,265.0,4.0,2.0,6.0,1.0,,50.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-3-ambientes--13407904,Tomkinson al 2000,,1250.0,,103.0,2.0,2.0,3.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14389772,Fray Justo Santa Maria de Oro al 2200,,2000.0,60000.0,150.0,3.0,2.0,4.0,2.0,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-caballito-8-ambientes--11327956,Pasaje Florencio Balcarce 100,,2000.0,,527.0,4.0,2.0,8.0,1.0,608.0,82.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--14371925,Arce 323,,3500.0,215000.0,175.0,3.0,3.0,4.0,3.0,,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--14357627,Av. Pedro Goyena al 1200,,2000.0,180000.0,136.0,3.0,2.0,4.0,2.0,,30.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-4-ambientes--14093282,San Sebastian,,700.0,,162.0,3.0,3.0,4.0,2.0,604.0,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--14395806,"J De Amenabar ** RESERVADO ** 2200, Piso P.B",250000.0,227.27272727272728,17000.0,60.0,2.0,1.0,3.0,,,40.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-santa-fe-5-ambientes--13075607,Arenales 1775 6° piso Martínez Centro,,1500.0,150000.0,190.0,3.0,3.0,5.0,2.0,,42.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-2-ambientes--14133036,"3 De Febrero 400, Piso 2",,500.0,,54.0,1.0,2.0,2.0,1.0,,15.0,Excelente
https://www.argenprop.com/casa-en-alquiler-en-belgrano-chico-5-ambientes--11982737,Húsares  1900,,7000.0,,750.0,4.0,5.0,5.0,2.0,800.0,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-vias-rolon--14421124,"Chubut 1000, Piso 1",350000.0,318.1818181818182,,165.0,,1.0,,,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-chico-5-ambientes--12669036,Ramsay  2000,,15000.0,,550.0,4.0,4.0,5.0,4.0,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-martinez-vias-santa-fe-4-ambientes--13255099,"Arenales  al 1800, Martinez",,1500.0,98200.0,145.0,3.0,2.0,4.0,1.0,,18.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--14430808,"Av. De Los Incas 3300, Piso 9",,1800.0,140000.0,110.0,3.0,3.0,4.0,1.0,,40.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-3-ambientes--14211618,"Miradores de la Bahía Costero,  hecho a nuevo. Calidad de terminaciones",,2000.0,,100.0,2.0,2.0,3.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--14366497,Ortega y Gasset 1600,,350.0,15000.0,22.0,,1.0,0.0,,,50.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-centro-1-ambiente--12410036,Montevideo 1600,220000.0,200.0,,240.0,,2.0,0.0,,,50.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--14393181,Palestina al 1100,210000.0,190.9090909090909,25000.0,32.0,1.0,1.0,0.0,,,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--11912106,"AV. SANTA FÉ  3300, Piso 6",980000.0,890.9090909090909,,119.0,3.0,2.0,4.0,,,,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14330064,"AMENABAR 2000, Piso 24",230000.0,209.0909090909091,21000.0,36.0,1.0,1.0,2.0,,,43.0,Muy Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14371288,AGUILAR 2200 2AMB. 51Mts.BALCON AMENITIES,,650.0,,,1.0,1.0,2.0,1.0,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-martinez-vias-libertador--12936567,LAS HERAS 2300,,4200.0,,430.0,3.0,3.0,,,280.0,,Excelente
https://www.argenprop.com/casa-en-alquiler-en-el-aljibe-4-ambientes--11061653,Trinidad 500,,1200.0,,133.0,3.0,2.0,4.0,1.0,372.0,3.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-jardines-de-san-isidro-5-ambientes--12722267,ALQUILER CON MUEBLES - Jardines de San Isidro - ARAUCARIA - Avellaneda  1547 3° piso,,2000.0,95000.0,120.0,4.0,3.0,5.0,2.0,,20.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--14352440,Doblas 955 17,,700.0,30000.0,40.0,1.0,1.0,0.0,,,4.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--14396779,Av. Dorrego 1940,,1000.0,75000.0,70.0,1.0,1.0,2.0,,,25.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-3-ambientes--14212505,Bahia,,700.0,,70.0,2.0,1.0,3.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-acassuso-4-ambientes--12614797,Av. del Libertador,,3500.0,120000.0,195.0,3.0,3.0,4.0,2.0,,35.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-pilar-golf-club-4-ambientes--8297971,Casa Pilar Golf,,2500.0,,340.0,3.0,4.0,4.0,,1.0,,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14437402,Migueletes al 600,,500.0,30000.0,,1.0,1.0,2.0,,,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14439704,Blanco Encalada 2100,,550.0,34488.0,43.0,1.0,1.0,2.0,,,4.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-1-ambiente--14132043,Avenida Agustin M. García al 5500,,500.0,,50.0,,1.0,0.0,1.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14369453,O'Higgins  al 1600,,2800.0,110000.0,169.0,3.0,3.0,4.0,1.0,,60.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-tigre-8-ambientes--13355573,Nordelta - ALQUILER ANUAL,,4800.0,,370.0,4.0,3.0,8.0,2.0,872.0,3.0,Bueno
https://www.argenprop.com/galpon-en-alquiler-en-general-paz--12698468,Larrea al 1500. Gral Paz. Cba,230000.0,209.0909090909091,,280.0,,1.0,,,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-santa-catalina-4-ambientes--13472241,"Santa Catalina, Villanueva 100",,1900.0,,160.0,3.0,3.0,4.0,2.0,832.0,4.0,Excelente
