URL,Ubicación,Precio ARS,Precio USD,Sup. cubierta,Dormitorios,Antigüedad,Baños,Ambientes,Cocheras,Toilettes,Sup. terreno,Expensas,Estado,Disposición,Orientación,Tipo de local,Sup. total,Plantas,En Edificio,Antiguedad,Apto profesional,Seguridad,Permite mascota,Tipo de Baño,Longitud del frente,Longitud del fondo,Superficie Total,Sup. descubierta,Longitud del Frente,Longitud del Fondo,Habitaciones,FOT,Altura Techo,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de acceso,Tipo de Terreno,Sup. Total,Tipo de coche,Galería/Shopping,Toilletes,Superficie cubierta,Descripción,Cantidad baños,Sup. Cubierta,Pileta
https://www.argenprop.com/casa-en-alquiler-en-arenas-del-sur-5-ambientes--13640295,Av Jorge Newberry  4500,,1,230  m² Cubierta,3 dormitorios,,4 baños,5 ambientes,2 cocheras,,1.180  m² Terreno,No se encontraron expensas,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--14288565,Pueyrredon 2300,,,,,,1 baño,Monoambiente,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14430248,La Pampa 1100,,650,45  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,1 cocheras,,,+ $30.000 expensas,,,,,,,,23 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--14296503,Cucha Cucha 1200,,,60  m² Cubierta,2 dormitorios,,1 baño,3 ambientes,,,,+ $39.000 expensas,Excelente,Contra frente,,,,,,40 años,Apto profesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-nunez-4-ambientes--14342515,Avenida del Libertador 7800,,1,151  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,1 cocheras,2 toilettes,,+ $140.000 expensas,,,,,,,,26 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--13857658,YATAY 100,,450,43  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,,,,+ $100 expensas,Muy Bueno,Frente,Este,,,,,20 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-del-este-santa-lucia-5-ambientes--12893695,Casa en Alquiler Anual 5 ambientes en Santa Lucia en Pilar del Este de 467 m2,,700,124  m² Cubierta,4 dormitorios,A Estrenar,3 baños,5 ambientes,,,467  m² Terreno,No se encontraron expensas,Muy Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-granadero-baigorria--14398217,J.M.Estrada  al 300,,,180  m² Cubierta,3 dormitorios,40 años,2 baños,,3 cocheras,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-villa-gobernador-galvez--14394888,"EVA PERON  2000, Piso 1",,,170  m² Cubierta,2 dormitorios,25 años,1 baño,,1 cochera,,,No se encontraron expensas,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-nordelta-yoo-nordelta-5-ambientes--13482375,Av del Golf 625,,2,218  m² Cubierta,3 dormitorios,,5 baños,5 ambientes,2 cocheras,,,+ $250.000 expensas,,,,,,,,12 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-4-ambientes--12985982,Caamaño al 1000,,1,200  m² Cubierta,3 dormitorios,2 años,3 baños,4 ambientes,2 cocheras,,800  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-mar-del-plata--7065458,Alberti,,,,,,1 baño,,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--7810580,Guayaquil 100,,,,,,,,,,,+ $13.000 expensas,Bueno,,,Via Pública,29  m² Total,1 planta,En edificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
